name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.76,76,77,-1,Traveller's Tales,E10+,Wii,2011,No
The Urbz: Sims in the City,Simulation,2004,Electronic Arts,1.76,70,82,-12,Maxis,T,PS2,2004,No
Madden NFL 17,Sports,2016,Electronic Arts,1.75,82,49,33,EA,E,PS4,2016,Yes
FIFA Soccer 08,Sports,2007,Electronic Arts,1.75,81,71,10,EA,E,PS3,2007,No
Dance Dance Revolution X,Simulation,2008,Konami Digital Entertainment,1.75,55,62,-7,Konami,E10+,PS2,2008,No
Dragon's Dogma,Role-Playing,2012,Capcom,1.74,78,83,-5,Capcom,M,PS3,2012,No
SSX Tricky,Sports,2001,Electronic Arts,1.73,92,89,3,EA,E,PS2,2001,No
Crash Bandicoot: The Huge Adventure,Platform,2002,Other,1.73,78,79,-1,Vicarious Visions,E,GBA,2002,No
The Crew,Racing,2014,Ubisoft,1.72,61,54,7,Ubisoft,T,PS4,2014,No
NBA 2K15,Sports,2014,Take-Two Interactive,1.72,82,63,19,Visual Concepts,E,XOne,2014,No
Madden NFL 2005,Sports,2004,Electronic Arts,1.72,91,76,15,EA,E,XB,2004,No
Ace Combat 5: The Unsung War,Simulation,2004,Other,1.71,84,91,-7,Namco,T,PS2,2004,No
Need for Speed Underground,Racing,2003,Electronic Arts,1.71,83,87,-4,EA,E,XB,2003,No
NCAA Football 07,Sports,2006,Electronic Arts,1.7,87,86,1,EA,E,PS2,2006,No
Resident Evil 4,Action,2005,Capcom,1.69,96,94,2,Capcom,M,GC,2005,No
Need For Speed: Undercover,Racing,2008,Electronic Arts,1.68,64,59,5,EA,T,X360,2008,No
The Sims: Superstar,Simulation,2003,Electronic Arts,1.68,79,82,-3,Maxis,T,PC,2003,No
Metroid Fusion,Action,2002,Nintendo,1.68,92,91,1,Nintendo,E,GBA,2002,No
SSX 3,Sports,2003,Electronic Arts,1.67,93,91,2,EA,E,PS2,2003,No
Madden NFL 2001,Sports,2000,Electronic Arts,1.67,90,68,22,EA,E,PS,2000,No
NCAA Football 2004,Sports,2003,Electronic Arts,1.67,94,88,6,EA,E,PS2,2003,No
Fight Night Round 3,Fighting,2006,Electronic Arts,1.67,83,79,4,EA,T,PS3,2006,No
SSX,Sports,2000,Electronic Arts,1.66,93,83,10,EA,E,PS2,2000,No
Shaun White Snowboarding: Road Trip,Sports,2008,Ubisoft,1.66,78,87,-9,Ubisoft,E10+,Wii,2008,No
NBA Ballers,Sports,2004,Midway Games,1.66,83,92,-9,Midway,E,PS2,2004,No
NBA Live 2003,Sports,2002,Electronic Arts,1.66,83,83,0,EA,E,PS2,2002,No
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.66,79,72,7,TT Games,E10+,X360,2012,No
Need for Speed Carbon,Racing,2006,Electronic Arts,1.65,77,63,14,EA,E10+,X360,2006,No
MySims,Simulation,2007,Electronic Arts,1.65,68,72,-4,EA,E,Wii,2007,No
Army of Two,Shooter,2008,Electronic Arts,1.64,72,76,-4,EA,M,X360,2008,No
Tiger Woods PGA Tour 2003,Sports,2002,Electronic Arts,1.64,88,89,-1,EA,E,PS2,2002,No
Prince of Persia: Warrior Within,Action,2004,Ubisoft,1.64,83,85,-2,Ubisoft,M,PS2,2004,No
Far Cry 4,Shooter,2014,Ubisoft,1.63,82,75,7,Ubisoft,M,XOne,2014,No
ESPN NFL 2K5,Sports,2004,Other,1.63,92,91,1,Visual Concepts,E,XB,2004,No
Pikmin,Strategy,2001,Nintendo,1.63,89,87,2,Nintendo,E,GC,2001,No
Tiger Woods PGA Tour 2004,Sports,2003,Electronic Arts,1.63,89,88,1,EA,E,PS2,2003,No
NCAA Football 2005,Sports,2004,Electronic Arts,1.62,88,88,0,EA,E,PS2,2004,No
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,1.62,83,77,6,TT Games,E10+,PS4,2013,No
NFL Street 2,Sports,2004,Electronic Arts,1.61,77,87,-10,EA,E,PS2,2004,No
ESPN NBA 2K5,Sports,2004,Other,1.59,83,75,8,Visual Concepts,E,PS2,2004,No
Far Cry 2,Action,2008,Ubisoft,1.59,85,67,18,Ubisoft,M,X360,2008,No
The Legend of Zelda: Twilight Princess,Action,2006,Nintendo,1.59,96,92,4,Nintendo,T,GC,2006,No
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.59,74,61,13,Konami,E,PS3,2007,No
Dance Dance Revolution: Hottest Party 2,Simulation,2008,Konami Digital Entertainment,1.58,69,68,1,Konami,E10+,Wii,2008,No
SoulCalibur IV,Fighting,2008,Ubisoft,1.58,85,79,6,Namco,T,X360,2008,No
Devil May Cry 4,Action,2008,Capcom,1.57,84,82,2,Capcom,M,PS3,2008,No
NCAA Football 2002,Sports,2001,Electronic Arts,1.57,90,87,3,EA,E,PS2,2001,No
Watch Dogs,Action,2014,Ubisoft,1.57,78,58,20,Ubisoft,M,XOne,2014,No
Guitar Hero: On Tour Decades,Misc,2008,Activision,1.57,72,80,-8,Vicarious Visions,E10+,DS,2008,No
Madden NFL 15,Sports,2014,Electronic Arts,1.57,80,64,16,EA,E,XOne,2014,No
Fight Night Round 3,Fighting,2006,Electronic Arts,1.56,84,81,3,EA,T,PS2,2006,No
Need for Speed: Most Wanted,Racing,2012,Electronic Arts,1.56,83,85,-2,EA,T,X360,2012,No
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.55,73,70,3,Traveller's Tales,E10+,Wii,2011,No
Tom Clancy's Rainbow Six 3,Shooter,2003,Ubisoft,1.55,86,85,1,Ubisoft,M,XB,2003,No
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.55,79,80,-1,Traveller's Tales,E10+,X360,2010,No
Spider-Man 2: Enter: Electro,Action,2001,Activision,1.55,74,87,-13,Vicarious Visions,E,PS,2001,No
Guitar Hero 5,Misc,2009,Activision,1.55,89,69,20,Vicarious Visions,T,Wii,2009,No
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,2006,Ubisoft,1.54,90,80,10,Ubisoft,T,X360,2006,No
MVP Baseball 2005,Sports,2005,Electronic Arts,1.54,87,86,1,EA,E,PS2,2005,No
Pro Evolution Soccer 2013,Sports,2012,Konami Digital Entertainment,1.53,82,67,15,Konami,E,PS3,2012,No
Fight Night Round 4,Fighting,2009,Electronic Arts,1.52,88,76,12,EA,T,PS3,2009,No
Pac-Man World 2,Action,2002,Other,1.51,73,78,-5,Namco,E,PS2,2002,No
MySims Kingdom,Simulation,2008,Electronic Arts,1.51,76,81,-5,EA,E,Wii,2008,No
The Simpsons Game,Action,2007,Electronic Arts,1.51,68,82,-14,EA,T,PS2,2007,No
SoulCalibur II,Fighting,2003,Other,1.5,93,91,2,Namco,T,GC,2003,No
Madden NFL 2001,Sports,2000,Electronic Arts,1.5,91,77,14,EA,E,PS2,2000,No
Medal of Honor: Frontline,Shooter,2002,Electronic Arts,1.49,81,69,12,EA,T,XB,2002,No
Madden NFL 09,Sports,2008,Electronic Arts,1.49,67,70,-3,EA,E,PS2,2008,No
Fight Night 2004,Fighting,2004,Electronic Arts,1.48,85,90,-5,EA,T,PS2,2004,No
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.48,75,78,-3,Traveller's Tales,E10+,X360,2011,No
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.48,93,86,7,Ubisoft,T,XB,2004,No
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,1.47,79,72,7,Ubisoft,M,X360,2012,No
Fight Night Round 3,Fighting,2006,Electronic Arts,1.47,86,88,-2,EA,T,X360,2006,No
SoulCalibur IV,Fighting,2008,Ubisoft,1.46,85,79,6,Namco,T,PS3,2008,No
Mario Superstar Baseball,Sports,2005,Nintendo,1.46,76,86,-10,Namco,E,GC,2005,No
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.46,83,77,6,EA,T,X360,2008,No
Onimusha 3: Demon Siege,Action,2004,Capcom,1.45,85,86,-1,Capcom,M,PS2,2004,No
Resident Evil: Outbreak,Action,2003,Capcom,1.45,71,83,-12,Capcom,M,PS2,2003,No
NBA 2K14,Sports,2013,Take-Two Interactive,1.45,85,65,20,Visual Concepts,E,PS4,2013,No
My Word Coach,Misc,2007,Ubisoft,1.44,71,68,3,Ubisoft,E,DS,2007,No
Tiger Woods PGA Tour 2005,Sports,2004,Electronic Arts,1.44,88,82,6,EA,E,PS2,2004,No
NCAA Football 2003,Sports,2002,Electronic Arts,1.44,91,86,5,EA,E,PS2,2002,No
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.43,71,68,3,Yuke's,T,X360,2007,No
Classic NES Series: Super Mario Bros.,Platform,2004,Nintendo,1.43,84,86,-2,Nintendo,E,GBA,2004,No
Hasbro Family Game Night,Puzzle,2008,Electronic Arts,1.43,63,75,-12,EA,E,Wii,2008,No
SimCity (2013),Simulation,2013,Electronic Arts,1.42,64,22,42,Maxis,E10+,PC,2013,Yes
NFL Street,Sports,2004,Electronic Arts,1.42,80,89,-9,EA,E,PS2,2004,No
Tiger Woods PGA Tour 09 All-Play,Sports,2008,Electronic Arts,1.42,81,87,-6,EA,E,Wii,2008,No
Rayman Raving Rabbids,Misc,2006,Ubisoft,1.42,76,79,-3,Ubisoft,E,Wii,2006,No
UFC Undisputed 2010,Fighting,2010,Other,1.41,85,72,13,Yuke's,T,PS3,2010,No
"NASCAR 2005: Chase for the Cup",Racing,2004,Electronic Arts,1.41,87,84,3,EA,E,PS2,2004,No
Fight Night Round 4,Fighting,2009,Electronic Arts,1.4,87,81,6,EA,T,X360,2009,No
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,1.4,83,86,-3,Traveller's Tales,E10+,PSP,2006,No
Dead Space,Action,2008,Electronic Arts,1.4,89,87,2,EA,M,X360,2008,No
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.4,72,61,11,Traveller's Tales,E10+,Wii,2009,No
Ridge Racer,Racing,2004,Sony Computer Entertainment,1.4,88,82,6,Namco,E,PSP,2004,No
Colin McRae Rally 3,Racing,2002,Codemasters,1.4,86,77,9,Codemasters,E,PS2,2002,No
Madden NFL 2002,Sports,2001,Electronic Arts,1.39,88,80,8,EA,E,PS,2001,No
Dynasty Warriors 5,Action,2005,Tecmo Koei,1.39,69,88,-19,Omega Force,T,PS2,2005,No
Far Cry 2,Action,2008,Ubisoft,1.38,85,64,21,Ubisoft,M,PS3,2008,No
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.37,77,84,-7,Traveller's Tales,E10+,PS2,2008,No
The Sims 2,Simulation,2005,Electronic Arts,1.37,65,69,-4,Maxis,T,PSP,2005,No
Crash Bandicoot 2: N-Tranced,Platform,2003,Other,1.36,75,78,-3,Vicarious Visions,E,GBA,2003,No
Dead to Rights,Shooter,2002,Electronic Arts,1.36,73,89,-16,Namco,M,PS2,2002,No
Hasbro Family Game Night 2,Misc,2009,Electronic Arts,1.35,63,63,0,EA,E,Wii,2009,No
Samurai Warriors,Action,2004,Electronic Arts,1.35,73,87,-14,Omega Force,T,PS2,2004,No
Battlefield 4,Shooter,2013,Electronic Arts,1.35,81,60,21,EA,M,PC,2013,No
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,79,74,5,EA,E,PSP,2007,No
FIFA Soccer 09,Sports,2008,Electronic Arts,1.35,84,89,-5,EA,E,PSP,2008,No
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,82,79,3,EA,E,X360,2007,No
Devil May Cry 4,Action,2008,Capcom,1.34,84,80,4,Capcom,M,X360,2008,No
Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,1.34,81,79,2,Ubisoft,M,PS3,2008,No
Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,2011,Capcom,1.34,84,73,11,Capcom,T,PS3,2011,No
Doom 3,Shooter,2005,Activision,1.34,88,74,14,Vicarious Visions,M,XB,2005,No
Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,1.34,74,69,5,Ubisoft,M,XOne,2015,No
Monster Hunter Freedom,Role-Playing,2005,Capcom,1.34,71,86,-15,Capcom,T,PSP,2005,No
Donkey Kong Jungle Beat,Platform,2004,Nintendo,1.34,80,83,-3,Nintendo,E10+,GC,2004,No
Need for Speed Carbon,Racing,2006,Electronic Arts,1.34,74,84,-10,EA,E10+,PS2,2006,No
Lost Planet: Extreme Condition,Shooter,2006,Capcom,1.34,79,71,8,Capcom,T,X360,2006,No
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.34,84,81,3,EA,T,PS3,2008,No
MVP Baseball 2004,Sports,2004,Electronic Arts,1.34,90,86,4,EA,E,PS2,2004,No
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.33,74,73,1,Yuke's,T,PS3,2007,No
Skylanders SWAP Force,Platform,2013,Activision,1.32,83,57,26,Vicarious Visions,E10+,X360,2013,Yes
UFC Undisputed 2010,Fighting,2010,Other,1.32,84,67,17,Yuke's,T,X360,2010,No
NFL 2K3,Sports,2002,Other,1.32,93,74,19,Visual Concepts,E,PS2,2002,No
Assassin's Creed III: Liberation,Action,2012,Ubisoft,1.32,70,72,-2,Ubisoft,M,PSV,2012,No
Your Shape: Fitness Evolved,Sports,2010,Ubisoft,1.32,73,75,-2,Ubisoft,E,X360,2010,No
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.31,79,80,-1,Traveller's Tales,E10+,PS3,2010,No
NBA Live 07,Sports,2006,Electronic Arts,1.3,63,60,3,EA,E,PS2,2006,No
SingStar '80s,Misc,2005,Sony Computer Entertainment,1.3,78,83,-5,EA,T,PS2,2005,No
Assassin's Creed Syndicate,Action,2015,Ubisoft,1.3,78,61,17,Ubisoft,M,XOne,2015,No
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.29,75,77,-2,Traveller's Tales,E10+,PS3,2008,No
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.29,72,75,-3,Ubisoft,M,PS3,2014,No
EA Playground,Sports,2007,Electronic Arts,1.29,66,76,-10,EA,E,Wii,2007,No
Need for Speed Carbon,Racing,2006,Electronic Arts,1.28,67,73,-6,EA,E10+,Wii,2006,No
Castlevania: Symphony of the Night,Platform,1997,Konami Digital Entertainment,1.27,93,94,-1,Konami,T,PS,Before 2000,No
Guitar Hero: Aerosmith,Misc,2008,Activision,1.27,73,72,1,Vicarious Visions,T,Wii,2008,No
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,1.27,69,72,-3,TT Games,E10+,X360,2014,No
The Sims 2: Nightlife,Simulation,2005,Electronic Arts,1.27,76,66,10,Maxis,T,PC,2005,No
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.27,77,89,-12,Traveller's Tales,E10+,PS2,2008,No
NBA 2K9,Sports,2008,Take-Two Interactive,1.27,84,72,12,Visual Concepts,E,X360,2008,No
Tony Hawk's Underground,Sports,2003,Activision,1.27,85,91,-6,Neversoft Entertainment,T,XB,2003,No
WWE '12,Fighting,2011,Other,1.27,71,63,8,Yuke's,T,X360,2011,No
EA Sports Active 2,Sports,2010,Electronic Arts,1.26,79,81,-2,EA,E,Wii,2010,No
NBA Live 2001,Sports,2000,Electronic Arts,1.25,86,80,6,EA,E,PS,2000,No
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.25,83,85,-2,EA,T,X360,2005,No
Tom Clancy's Rainbow Six: Vegas,Shooter,2007,Ubisoft,1.25,86,76,10,Ubisoft,M,PS3,2007,No
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.25,87,86,1,Ubisoft,T,PS2,2004,No
Ridge Racer V,Action,2000,Other,1.24,78,77,1,Namco,E,PS2,2000,No
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,1.24,78,69,9,Yuke's,T,PS2,2008,No
FIFA Street,Sports,2012,Electronic Arts,1.23,76,64,12,EA,E,PS3,2012,No
Frogger: The Great Quest,Platform,2001,Konami Digital Entertainment,1.23,32,46,-14,Konami,E,PS2,2001,No
Madden NFL 17,Sports,2016,Electronic Arts,1.23,83,59,24,EA,E,XOne,2016,No
Crash Bandicoot: The Wrath of Cortex,Platform,2002,Other,1.23,70,81,-11,Traveller's Tales,E,XB,2002,No
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.23,80,85,-5,TT Games,E10+,X360,2012,No
Hyrule Warriors,Action,2014,Nintendo,1.23,76,83,-7,Omega Force,T,WiiU,2014,No
Guitar Hero: Aerosmith,Misc,2008,Activision,1.23,70,67,3,Neversoft Entertainment,T,X360,2008,No
Need for Speed Carbon,Racing,2006,Electronic Arts,1.23,75,73,2,EA,E10+,PS3,2006,No
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,1.23,82,78,4,EA,E,PS3,2010,No
NBA 2K2,Sports,2002,Other,1.22,89,78,11,Visual Concepts,E,PS2,2002,No
Super Street Fighter IV: 3D Edition,Fighting,2011,Capcom,1.21,85,81,4,Capcom,T,3DS,2011,No
WWE 2K16,Sports,2015,Take-Two Interactive,1.21,73,74,-1,Yuke's,T,PS4,2015,No
Dino Crisis 2,Action,2000,Other,1.21,86,90,-4,Capcom,M,PS,2000,No
Need for Speed Underground,Racing,2003,Electronic Arts,1.21,83,90,-7,EA,E,GC,2003,No
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.21,75,76,-1,EA,T,PS3,2007,No
Boom Blox,Puzzle,2008,Electronic Arts,1.21,85,86,-1,EA,E,Wii,2008,No
The Sims 2: Castaway,Simulation,2007,Electronic Arts,1.2,73,82,-9,Maxis,T,Wii,2007,No
F1 2011,Racing,2011,Codemasters,1.2,82,71,11,Codemasters,E,PS3,2011,No
Pikmin 2,Strategy,2004,Nintendo,1.2,90,91,-1,Nintendo,E,GC,2004,No
NHL 2002,Sports,2001,Electronic Arts,1.2,92,85,7,EA,E,PS2,2001,No
FIFA Soccer 11,Sports,2010,Electronic Arts,1.2,68,54,14,EA,E,PSP,2010,No
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.19,81,75,6,Traveller's Tales,E10+,PS3,2012,No
Captain Toad: Treasure Tracker,Puzzle,2014,Nintendo,1.19,81,86,-5,EA,E,WiiU,2014,No
SpongeBob SquarePants: Revenge of the Flying Dutchman,Platform,2002,Other,1.19,71,77,-6,Vicarious Visions,E,GBA,2002,No
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,1.19,83,84,-1,Konami,E,Wii,2008,No
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.19,68,78,-10,Yuke's,T,PSP,2007,No
Just Dance 4,Misc,2012,Ubisoft,1.18,77,77,0,Ubisoft,E10+,X360,2012,No
Tony Hawk's Pro Skater 2,Sports,2001,Activision,1.18,95,75,20,Vicarious Visions,E,GBA,2001,No
Gun,Shooter,2005,Activision,1.17,77,87,-10,Neversoft Entertainment,M,PS2,2005,No
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.17,76,76,0,Traveller's Tales,E10+,PSP,2008,No
WWE '12,Fighting,2011,Other,1.17,72,69,3,Yuke's,T,PS3,2011,No
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.17,81,81,0,Yuke's,T,PS3,2009,No
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,1.17,65,58,7,EA,T,XB,2003,No
Army of Two,Shooter,2008,Electronic Arts,1.17,74,73,1,EA,M,PS3,2008,No
Spore,Strategy,2008,Electronic Arts,1.17,84,53,31,Maxis,E10+,PC,2008,Yes
Mario vs. Donkey Kong,Puzzle,2004,Nintendo,1.17,81,80,1,Nintendo,E,GBA,2004,No
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.16,76,73,3,Traveller's Tales,E10+,PS3,2011,No
Mirror's Edge,Platform,2008,Electronic Arts,1.16,79,76,3,EA,T,X360,2008,No
"NASCAR Thunder 2002",Racing,2001,Electronic Arts,1.16,85,85,0,EA,E,PS2,2001,No
Your Shape: Fitness Evolved 2012,Sports,2011,Ubisoft,1.16,77,76,1,Ubisoft,E,X360,2011,No
FIFA 14,Sports,2013,Electronic Arts,1.16,88,58,30,EA,E,XOne,2013,Yes
Gauntlet: Dark Legacy,Action,2001,Midway Games,1.15,73,83,-10,Midway,T,PS2,2001,No
Medal of Honor Heroes 2,Shooter,2007,Electronic Arts,1.15,69,73,-4,EA,T,PSP,2007,No
FIFA Soccer 10,Sports,2009,Electronic Arts,1.15,83,79,4,EA,E,PSP,2009,No
Donkey Konga,Misc,2003,Nintendo,1.15,76,83,-7,Namco,E,GC,2003,No
WWE 2K15,Sports,2014,Take-Two Interactive,1.15,62,51,11,Yuke's,T,PS4,2014,No
WWE 2K14,Sports,2013,Take-Two Interactive,1.14,74,75,-1,Yuke's,T,PS3,2013,No
The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,1.14,84,91,-7,EA,T,XB,2003,No
Mobile Suit Gundam: Federation vs. Zeon,Simulation,2001,Other,1.14,73,88,-15,Capcom,T,PS2,2001,No
Watch Dogs 2,Action,2016,Ubisoft,1.13,83,78,5,Ubisoft,M,PS4,2016,No
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.13,67,61,6,Traveller's Tales,E10+,3DS,2011,No
Tom Clancy's Rainbow Six 3: Black Arrow,Shooter,2004,Ubisoft,1.13,84,86,-2,Ubisoft,M,XB,2004,No
Mirror's Edge,Platform,2008,Electronic Arts,1.13,79,78,1,EA,T,PS3,2008,No
Guitar Hero 5,Misc,2009,Activision,1.13,85,68,17,Neversoft Entertainment,T,X360,2009,No
The Legend of Zelda: Tri Force Heroes,Action,2015,Nintendo,1.12,73,76,-3,Nintendo,E,3DS,2015,No
Rabbids Go Home,Platform,2009,Ubisoft,1.12,78,83,-5,Ubisoft,E10+,Wii,2009,No
Rocksmith,Misc,2011,Ubisoft,1.12,80,83,-3,Ubisoft,T,PS3,2011,No
Rocksmith,Misc,2011,Ubisoft,1.12,77,82,-5,Ubisoft,T,X360,2011,No
Fight Night Champion,Fighting,2011,Electronic Arts,1.11,84,73,11,EA,M,PS3,2011,No
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,1.11,94,90,4,Ubisoft,M,XB,2005,No
Pikmin 3,Strategy,2013,Nintendo,1.11,87,87,0,Nintendo,E10+,WiiU,2013,No
WWE 2K14,Sports,2013,Take-Two Interactive,1.11,75,77,-2,Yuke's,T,X360,2013,No
Tales of Symphonia,Role-Playing,2003,Nintendo,1.1,86,85,1,Namco,T,GC,2003,No
LEGO City Undercover,Platform,2013,Nintendo,1.1,80,82,-2,TT Games,E10+,WiiU,2013,No
Need for Speed: ProStreet,Racing,2007,Electronic Arts,1.1,61,69,-8,EA,E10+,Wii,2007,No
GRID,Racing,2008,Codemasters,1.1,87,81,6,Codemasters,E,PS3,2008,No
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.1,73,67,6,EA,T,X360,2007,No
NCAA Football 14,Sports,2013,Electronic Arts,1.09,77,58,19,EA,E,X360,2013,No
Guitar Hero 5,Misc,2009,Activision,1.09,86,57,29,Neversoft Entertainment,T,PS3,2009,Yes
NERF N-Strike,Shooter,2008,Electronic Arts,1.09,66,44,22,EA,E10+,Wii,2008,No
Madden NFL 2004,Sports,2003,Electronic Arts,1.09,92,83,9,EA,E,XB,2003,No
The Godfather,Action,2006,Electronic Arts,1.09,75,83,-8,EA,M,PS2,2006,No
WWE SmackDown vs. Raw 2011,Fighting,2010,Other,1.09,74,69,5,Yuke's,T,PS3,2010,No
NCAA Football 13,Action,2012,Electronic Arts,1.09,76,55,21,EA,E,X360,2012,No
Skate 2,Sports,2009,Electronic Arts,1.09,84,80,4,EA,T,X360,2009,No
"NASCAR Thunder 2004",Racing,2003,Electronic Arts,1.08,88,89,-1,EA,E,PS2,2003,No
Tom Clancy's Ghost Recon 2,Shooter,2004,Ubisoft,1.08,58,60,-2,Ubisoft,T,PS2,2004,No
Star Fox: Assault,Shooter,2005,Nintendo,1.08,67,81,-14,Namco,T,GC,2005,No
FIFA Soccer 11,Sports,2010,Electronic Arts,1.07,73,73,0,EA,E,Wii,2010,No
Prince of Persia,Action,2008,Ubisoft,1.07,85,73,12,Ubisoft,T,PS3,2008,No
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.07,76,78,-2,Konami,E,X360,2007,No
SoulCalibur III,Fighting,2005,Other,1.07,86,84,2,Namco,T,PS2,2005,No
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,1.07,88,88,0,EA,E,Wii,2009,No
Mortal Kombat: Armageddon,Fighting,2006,Midway Games,1.06,75,85,-10,Midway,M,PS2,2006,No
The Orange Box,Shooter,2007,Electronic Arts,1.06,89,84,5,EA,M,PS3,2007,No
NBA Street V3,Sports,2005,Electronic Arts,1.06,89,87,2,EA,E,PS2,2005,No
DiRT 3,Racing,2011,Codemasters,1.06,87,71,16,Codemasters,T,PS3,2011,No
DiRT,Racing,2007,Codemasters,1.05,83,80,3,Codemasters,E,PS3,2007,No
NBA 2K3,Sports,2002,Other,1.05,89,80,9,Visual Concepts,E,PS2,2002,No
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.05,82,83,-1,TT Games,E10+,PS3,2012,No
EA Sports UFC,Sports,2014,Electronic Arts,1.05,70,61,9,EA,T,PS4,2014,No
MVP Baseball 2003,Sports,2003,Electronic Arts,1.04,81,89,-8,EA,E,PS2,2003,No
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.04,80,84,-4,Yuke's,T,X360,2009,No
Dance Dance Revolution SuperNOVA,Simulation,2006,Konami Digital Entertainment,1.04,73,87,-14,Konami,E10+,PS2,2006,No
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.04,83,88,-5,EA,T,XB,2005,No
The Simpsons Game,Action,2007,Electronic Arts,1.03,71,77,-6,EA,T,X360,2007,No
F1 2012,Racing,2012,Codemasters,1.03,81,75,6,Codemasters,E,PS3,2012,No
UFC Undisputed 3,Action,2012,Other,1.03,86,74,12,Yuke's,T,PS3,2012,No
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.03,73,70,3,Traveller's Tales,E10+,X360,2011,No
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.03,84,81,3,Ubisoft,T,PS3,2007,No
LEGO Indiana Jones: The Original Adventures,Action,2008,Activision,1.03,77,77,0,Traveller's Tales,E10+,PS3,2008,No
Street Fighter Alpha 3,Fighting,1998,Other,1.03,93,85,8,Capcom,T,PS,Before 2000,No
MySims Agents,Adventure,2009,Electronic Arts,1.03,78,86,-8,EA,E,Wii,2009,No
FIFA Soccer 08,Sports,2007,Electronic Arts,1.02,65,61,4,EA,E,Wii,2007,No
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,1.02,72,70,2,EA,E,Wii,2007,No
NBA 2K17,Sports,2016,Take-Two Interactive,1.02,90,62,28,Visual Concepts,E,XOne,2016,Yes
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.02,86,81,5,Ubisoft,T,X360,2007,No
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.02,71,74,-3,Traveller's Tales,E10+,X360,2009,No
Skylanders SWAP Force,Platform,2013,Activision,1.02,83,53,30,Vicarious Visions,E10+,PS3,2013,Yes
Madden NFL 07,Sports,2006,Electronic Arts,1.02,83,87,-4,EA,E,XB,2006,No
