name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
The Legend of Zelda: The Wind Waker,Action,2002,Nintendo,4.6,96,89,7,Nintendo,E,GC,2002,No
Guitar Hero III: Legends of Rock,Misc,2007,Activision,4.6,86,84,2,Vicarious Visions,T,Wii,2007,No
Madden NFL 2005,Sports,2004,Electronic Arts,4.53,91,79,12,EA,E,PS2,2004,No
Guitar Hero III: Legends of Rock,Misc,2007,Activision,4.53,85,79,6,Neversoft Entertainment,T,X360,2007,No
Madden NFL 07,Sports,2006,Electronic Arts,4.49,84,82,2,EA,E,PS2,2006,No
Splatoon,Shooter,2015,Nintendo,4.43,81,85,-4,Nintendo,E10+,WiiU,2015,No
Nintendo Land,Misc,2012,Nintendo,4.42,77,79,-2,Nintendo,E10+,WiiU,2012,No
Tony Hawk's Pro Skater 3,Sports,2001,Activision,4.41,97,75,22,Neversoft Entertainment,T,PS2,2001,No
Winning Eleven: Pro Evolution Soccer 2007,Sports,2006,Konami Digital Entertainment,4.39,86,89,-3,Konami,E,PS2,2006,No
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,4.37,82,91,-9,EA,T,PS2,2005,No
Michael Jackson: The Experience,Misc,2010,Ubisoft,4.36,56,83,-27,Ubisoft,E10+,Wii,2010,Yes
Super Mario 3D World,Platform,2013,Nintendo,4.32,93,90,3,Nintendo,E,WiiU,2013,No
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.22,80,75,5,Ubisoft,M,PS3,2011,No
FIFA 14,Sports,2013,Electronic Arts,4.22,84,42,42,EA,E,X360,2013,Yes
FIFA Soccer 06,Sports,2005,Electronic Arts,4.21,80,78,2,EA,E,PS2,2005,No
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.19,80,72,8,Ubisoft,M,X360,2011,No
Street Fighter IV,Fighting,2009,Capcom,4.16,94,73,21,Capcom,T,PS3,2009,No
Madden NFL 2003,Sports,2002,Electronic Arts,4.14,95,77,18,EA,E,PS2,2002,No
Battlefield 1,Shooter,2016,Electronic Arts,4.08,88,84,4,EA,M,PS4,2016,No
Watch Dogs,Action,2014,Ubisoft,4.05,80,63,17,Ubisoft,M,PS4,2014,No
Tekken Tag Tournament,Fighting,2000,Other,4.05,85,85,0,Namco,T,PS2,2000,No
Far Cry 4,Shooter,2014,Ubisoft,4.04,85,77,8,Ubisoft,M,PS4,2014,No
Assassin's Creed: Unity,Action,2014,Ubisoft,3.96,70,49,21,Ubisoft,M,PS4,2014,No
The Legend of Zelda: Skyward Sword,Action,2011,Nintendo,3.95,93,80,13,Nintendo,E10+,Wii,2011,No
EA Sports Active,Sports,2009,Electronic Arts,3.9,81,87,-6,EA,E,Wii,2009,No
Tony Hawk's Underground,Sports,2003,Activision,3.9,90,87,3,Neversoft Entertainment,T,PS2,2003,No
Monster Hunter 4 Ultimate,Role-Playing,2014,Nintendo,3.89,86,87,-1,Capcom,T,3DS,2014,No
NBA 2K16,Sports,2015,Take-Two Interactive,3.88,87,67,20,Visual Concepts,E10+,PS4,2015,No
Tekken 5,Fighting,2005,Other,3.87,88,86,2,Namco,T,PS2,2005,No
Sports Champions,Sports,2010,Sony Computer Entertainment,3.84,76,79,-3,EA,E10+,PS3,2010,No
Big Brain Academy: Wii Degree,Misc,2007,Nintendo,3.79,68,69,-1,Nintendo,E,Wii,2007,No
